2023-04-19 02:07:06,375 INFO    MainThread:37572 [wandb_setup.py:_flush():76] Configure stats pid to 37572
2023-04-19 02:07:06,376 INFO    MainThread:37572 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tripats\.config\wandb\settings
2023-04-19 02:07:06,377 INFO    MainThread:37572 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\dynamic_env\wandb\settings
2023-04-19 02:07:06,377 INFO    MainThread:37572 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-19 02:07:06,377 INFO    MainThread:37572 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-19 02:07:06,377 INFO    MainThread:37572 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'dynamic_env\\main.py', 'program': 'C:\\Users\\tripats\\Documents\\GitHub\\UAV_Subband_Allocation_DQN_Pytorch\\dynamic_env\\main.py'}
2023-04-19 02:07:06,383 INFO    MainThread:37572 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\dynamic_env\wandb\run-20230419_020706-n05j2dp9\logs\debug.log
2023-04-19 02:07:06,383 INFO    MainThread:37572 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\dynamic_env\wandb\run-20230419_020706-n05j2dp9\logs\debug-internal.log
2023-04-19 02:07:06,383 INFO    MainThread:37572 [wandb_init.py:init():547] calling init triggers
2023-04-19 02:07:06,383 INFO    MainThread:37572 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'exp_name': 'madql_uav_dynamic_user', 'seed': 1, 'torch_deterministic': True, 'cuda': True, 'wandb_track': True, 'wandb_name': 'UAV_Subband_Allocation_DQN_Pytorch_Dynamic', 'wandb_entity': None, 'env_id': 'ma-custom-UAV-connectivity', 'num_env': 1, 'num_episode': 800, 'num_steps': 100, 'learning_rate': 0.00035, 'gamma': 0.95, 'batch_size': 512, 'epsilon': 0.1, 'update_rate': 10, 'buffer_size': 125000, 'epsilon_min': 0.1, 'epsilon_decay': False, 'epsilon_decay_steps': 1, 'info_exchange_lvl': 3}
2023-04-19 02:07:06,383 INFO    MainThread:37572 [wandb_init.py:init():595] starting backend
2023-04-19 02:07:06,383 INFO    MainThread:37572 [wandb_init.py:init():599] setting up manager
2023-04-19 02:07:06,387 INFO    MainThread:37572 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-19 02:07:06,394 INFO    MainThread:37572 [wandb_init.py:init():605] backend started and connected
2023-04-19 02:07:06,399 INFO    MainThread:37572 [wandb_init.py:init():695] updated telemetry
2023-04-19 02:07:06,452 INFO    MainThread:37572 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-19 02:07:06,687 INFO    MainThread:37572 [wandb_run.py:_on_init():2176] communicating current version
2023-04-19 02:07:06,830 INFO    MainThread:37572 [wandb_run.py:_on_init():2185] got version response 
2023-04-19 02:07:06,830 INFO    MainThread:37572 [wandb_init.py:init():782] starting run threads in backend
2023-04-19 02:07:07,409 INFO    MainThread:37572 [wandb_run.py:_console_start():2157] atexit reg
2023-04-19 02:07:07,409 INFO    MainThread:37572 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-19 02:07:07,409 INFO    MainThread:37572 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-19 02:07:07,409 INFO    MainThread:37572 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-19 02:07:07,409 INFO    MainThread:37572 [wandb_init.py:init():824] run started, returning control to user process
2023-04-19 02:07:07,409 INFO    MainThread:37572 [wandb_run.py:_tensorboard_callback():1432] tensorboard callback: runs/madql_uav_dynamic_user__lvl3__5__1__1681884425, True
2023-04-19 03:27:19,258 INFO    MainThread:37572 [wandb_run.py:_finish():1892] finishing run saugat76/UAV_Subband_Allocation_DQN_Pytorch_Dynamic/n05j2dp9
2023-04-19 03:27:19,258 INFO    MainThread:37572 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-19 03:27:19,258 INFO    MainThread:37572 [wandb_run.py:_restore():2109] restore
2023-04-19 03:27:19,259 INFO    MainThread:37572 [wandb_run.py:_restore():2115] restore done
2023-04-19 03:27:30,261 INFO    MainThread:37572 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-19 03:27:30,261 INFO    MainThread:37572 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-19 03:27:30,273 INFO    MainThread:37572 [wandb_run.py:_footer_sync_info():3434] logging synced files
