2023-04-19 15:24:52,855 INFO    MainThread:21096 [wandb_setup.py:_flush():76] Configure stats pid to 21096
2023-04-19 15:24:52,856 INFO    MainThread:21096 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tripats\.config\wandb\settings
2023-04-19 15:24:52,856 INFO    MainThread:21096 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\dynamic_env\wandb\settings
2023-04-19 15:24:52,856 INFO    MainThread:21096 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-19 15:24:52,856 INFO    MainThread:21096 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-19 15:24:52,856 INFO    MainThread:21096 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'dynamic_env\\main.py', 'program': 'C:\\Users\\tripats\\Documents\\GitHub\\UAV_Subband_Allocation_DQN_Pytorch\\dynamic_env\\main.py'}
2023-04-19 15:24:52,856 INFO    MainThread:21096 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\dynamic_env\wandb\run-20230419_152452-4ulnp8dv\logs\debug.log
2023-04-19 15:24:52,856 INFO    MainThread:21096 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\dynamic_env\wandb\run-20230419_152452-4ulnp8dv\logs\debug-internal.log
2023-04-19 15:24:52,857 INFO    MainThread:21096 [wandb_init.py:init():547] calling init triggers
2023-04-19 15:24:52,857 INFO    MainThread:21096 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'exp_name': 'madql_uav_dynamic_user', 'seed': 1, 'torch_deterministic': True, 'cuda': True, 'wandb_track': True, 'wandb_name': 'UAV_Subband_Allocation_DQN_Pytorch_Dynamic', 'wandb_entity': None, 'env_id': 'ma-custom-UAV-connectivity', 'num_env': 1, 'num_episode': 351, 'num_steps': 100, 'learning_rate': 0.00035, 'gamma': 0.95, 'batch_size': 512, 'epsilon': 0.1, 'update_rate': 10, 'buffer_size': 125000, 'epsilon_min': 0.1, 'epsilon_decay': False, 'epsilon_decay_steps': 1, 'info_exchange_lvl': 4}
2023-04-19 15:24:52,857 INFO    MainThread:21096 [wandb_init.py:init():595] starting backend
2023-04-19 15:24:52,857 INFO    MainThread:21096 [wandb_init.py:init():599] setting up manager
2023-04-19 15:24:52,864 INFO    MainThread:21096 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-19 15:24:52,867 INFO    MainThread:21096 [wandb_init.py:init():605] backend started and connected
2023-04-19 15:24:52,873 INFO    MainThread:21096 [wandb_init.py:init():695] updated telemetry
2023-04-19 15:24:52,927 INFO    MainThread:21096 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-19 15:24:53,138 INFO    MainThread:21096 [wandb_run.py:_on_init():2176] communicating current version
2023-04-19 15:24:53,276 INFO    MainThread:21096 [wandb_run.py:_on_init():2185] got version response 
2023-04-19 15:24:53,276 INFO    MainThread:21096 [wandb_init.py:init():782] starting run threads in backend
2023-04-19 15:24:53,953 INFO    MainThread:21096 [wandb_run.py:_console_start():2157] atexit reg
2023-04-19 15:24:53,953 INFO    MainThread:21096 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-19 15:24:53,953 INFO    MainThread:21096 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-19 15:24:53,953 INFO    MainThread:21096 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-19 15:24:53,954 INFO    MainThread:21096 [wandb_init.py:init():824] run started, returning control to user process
2023-04-19 15:24:53,954 INFO    MainThread:21096 [wandb_run.py:_tensorboard_callback():1432] tensorboard callback: runs/madql_uav_dynamic_user__lvl4__5__1__1681932291, True
2023-04-19 15:56:00,617 INFO    MainThread:21096 [wandb_run.py:_finish():1892] finishing run saugat76/UAV_Subband_Allocation_DQN_Pytorch_Dynamic/4ulnp8dv
2023-04-19 15:56:00,617 INFO    MainThread:21096 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-19 15:56:00,617 INFO    MainThread:21096 [wandb_run.py:_restore():2109] restore
2023-04-19 15:56:00,618 INFO    MainThread:21096 [wandb_run.py:_restore():2115] restore done
2023-04-19 15:56:13,581 INFO    MainThread:21096 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-19 15:56:13,585 INFO    MainThread:21096 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-19 15:56:13,596 INFO    MainThread:21096 [wandb_run.py:_footer_sync_info():3434] logging synced files
