2023-04-18 19:19:23,061 INFO    MainThread:32504 [wandb_setup.py:_flush():76] Configure stats pid to 32504
2023-04-18 19:19:23,062 INFO    MainThread:32504 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tripats\.config\wandb\settings
2023-04-18 19:19:23,062 INFO    MainThread:32504 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\wandb\settings
2023-04-18 19:19:23,062 INFO    MainThread:32504 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-18 19:19:23,062 INFO    MainThread:32504 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-18 19:19:23,062 INFO    MainThread:32504 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'C:\\Users\\tripats\\Documents\\GitHub\\UAV_Subband_Allocation_DQN_Pytorch\\main.py'}
2023-04-18 19:19:23,068 INFO    MainThread:32504 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\wandb\run-20230418_191923-k2ng6n35\logs\debug.log
2023-04-18 19:19:23,068 INFO    MainThread:32504 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\tripats\Documents\GitHub\UAV_Subband_Allocation_DQN_Pytorch\wandb\run-20230418_191923-k2ng6n35\logs\debug-internal.log
2023-04-18 19:19:23,069 INFO    MainThread:32504 [wandb_init.py:init():547] calling init triggers
2023-04-18 19:19:23,069 INFO    MainThread:32504 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'exp_name': 'madql_uav', 'seed': 1, 'torch_deterministic': True, 'cuda': True, 'wandb_track': True, 'wandb_name': 'UAV_Subband_Allocation_DQN_Pytorch', 'wandb_entity': None, 'env_id': 'ma-custom-UAV-connectivity', 'num_env': 1, 'num_episode': 351, 'num_steps': 100, 'learning_rate': 0.00035, 'gamma': 0.95, 'batch_size': 512, 'epsilon': 0.1, 'update_rate': 10, 'buffer_size': 125000, 'epsilon_min': 0.1, 'epsilon_decay': False, 'epsilon_decay_steps': 1, 'info_exchange_lvl': 2}
2023-04-18 19:19:23,069 INFO    MainThread:32504 [wandb_init.py:init():595] starting backend
2023-04-18 19:19:23,069 INFO    MainThread:32504 [wandb_init.py:init():599] setting up manager
2023-04-18 19:19:23,079 INFO    MainThread:32504 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-18 19:19:23,082 INFO    MainThread:32504 [wandb_init.py:init():605] backend started and connected
2023-04-18 19:19:23,086 INFO    MainThread:32504 [wandb_init.py:init():695] updated telemetry
2023-04-18 19:19:23,144 INFO    MainThread:32504 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-18 19:19:23,354 INFO    MainThread:32504 [wandb_run.py:_on_init():2176] communicating current version
2023-04-18 19:19:23,482 INFO    MainThread:32504 [wandb_run.py:_on_init():2185] got version response 
2023-04-18 19:19:23,482 INFO    MainThread:32504 [wandb_init.py:init():782] starting run threads in backend
2023-04-18 19:19:24,039 INFO    MainThread:32504 [wandb_run.py:_console_start():2157] atexit reg
2023-04-18 19:19:24,039 INFO    MainThread:32504 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-18 19:19:24,039 INFO    MainThread:32504 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-18 19:19:24,039 INFO    MainThread:32504 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-18 19:19:24,044 INFO    MainThread:32504 [wandb_init.py:init():824] run started, returning control to user process
2023-04-18 19:19:24,044 INFO    MainThread:32504 [wandb_run.py:_tensorboard_callback():1432] tensorboard callback: runs/madql_uav__lvl2__5__1__1681859961, True
2023-04-18 19:51:41,784 WARNING MsgRouterThr:32504 [router.py:message_loop():77] message_loop has been closed
